id,name,workflowComparator,ascending,deadlineFactor,reliabilityFactor,jobSequenceStrategy,neighborhoodFactor,slackTimeFactor,daxList,completionDetail,elecCost,finishTime,retryCount,overdueCount,plnRuntime,runtime
10,Random,Default,true,0.2,0.98,DEADLINE,0.2,1.0,"[Genome_100, Montage_50, Montage_200]",350 / 350,0.1143914817538889,8834.5593,3,1,3.67,5.11
7,HEFT,Default,true,0.2,0.98,DEADLINE,0.2,1.0,"[Genome_100, Montage_50, Montage_200]",350 / 350,0.037750939985,915.76,0,0,3.947,5.866
4,Random,Default,true,0.2,0.98,DEADLINE,0.2,1.0,"[Genome_100, Montage_50, Montage_200]",350 / 350,0.07938545679055554,8850.9647,4,1,4.559,5.944
3,HEFT,Default,true,0.2,0.98,DEADLINE,0.2,1.0,"[Genome_100, Montage_50, Montage_200]",350 / 350,0.03450068564138889,707.5071,0,0,4.317,6.121
9,HEFT,Default,true,0.2,0.98,DEADLINE,0.2,1.0,"[Genome_100, Montage_50, Montage_200]",350 / 350,0.03507511391555555,993.7767,0,0,4.914,6.559
5,HEFT,Default,true,0.2,0.98,DEADLINE,0.2,1.0,"[Genome_100, Montage_50, Montage_200]",350 / 350,0.03230362181555556,717.503,0,0,5.103,7.053
1,HEFT,Default,true,0.2,0.98,DEADLINE,0.2,1.0,"[Genome_100, Montage_50, Montage_200]",350 / 350,0.034036765216944445,717.8537,0,0,5.038,6.725
6,Random,Default,true,0.2,0.98,DEADLINE,0.2,1.0,"[Genome_100, Montage_50, Montage_200]",350 / 350,0.09234375336194445,8756.5671,1,1,4.706,6.25
11,HEFT,Default,true,0.2,0.98,DEADLINE,0.2,1.0,"[Genome_100, Montage_50, Montage_200]",350 / 350,0.03585663429000001,707.6785,0,0,5.249,6.481
13,HEFT,Default,true,0.2,0.98,DEADLINE,0.2,1.0,"[Genome_100, Montage_50, Montage_200]",350 / 350,0.03841089164722222,668.5946,0,0,4.223,4.382
16,Random,Default,true,0.2,0.98,DEADLINE,0.2,1.0,"[Genome_100, Montage_50, Montage_200]",350 / 350,0.13085965916055556,8975.4996,1,2,3.833,3.928
2,Random,Default,true,0.2,0.98,DEADLINE,0.2,1.0,"[Genome_100, Montage_50, Montage_200]",350 / 350,0.12368446041222224,9014.4591,8,1,5.194,6.426
14,Random,Default,true,0.2,0.98,DEADLINE,0.2,1.0,"[Genome_100, Montage_50, Montage_200]",350 / 350,0.10440957562166667,9992.5322,4,1,4.763,4.924
8,Random,Default,true,0.2,0.98,DEADLINE,0.2,1.0,"[Genome_100, Montage_50, Montage_200]",350 / 350,0.07512603033944444,9022.8798,4,1,5.056,6.368
15,HEFT,Default,true,0.2,0.98,DEADLINE,0.2,1.0,"[Genome_100, Montage_50, Montage_200]",350 / 350,0.03582871289333334,995.3986,0,0,4.992,5.124
17,HEFT,Default,true,0.2,0.98,DEADLINE,0.2,1.0,"[Genome_100, Montage_50, Montage_200]",350 / 350,0.040532387738333335,923.2008,0,0,4.708,4.833
12,Random,Default,true,0.2,0.98,DEADLINE,0.2,1.0,"[Genome_100, Montage_50, Montage_200]",350 / 350,0.10326241859333332,6410.6084,6,0,4.562,6.651
18,Random,Default,true,0.2,0.98,DEADLINE,0.2,1.0,"[Genome_100, Montage_50, Montage_200]",350 / 350,0.09502155679166667,6912.4306,3,1,4.591,4.791
20,Random,Default,true,0.2,0.98,DEADLINE,0.2,1.0,"[Genome_100, Montage_50, Montage_200]",350 / 350,0.1298684631025,6947.0251,3,1,4.174,4.277
19,HEFT,Default,true,0.2,0.98,DEADLINE,0.2,1.0,"[Genome_100, Montage_50, Montage_200]",350 / 350,0.040038960347777784,668.3102,0,0,5.058,5.183
22,Random,Default,true,0.2,0.98,DEADLINE,0.2,1.0,"[Genome_100, Montage_50, Montage_200]",350 / 350,0.10559028396166667,8752.5947,4,1,3.975,4.07
21,HEFT,Default,true,0.2,0.98,DEADLINE,0.2,1.0,"[Genome_100, Montage_50, Montage_200]",350 / 350,0.03526614808388889,668.3103,0,0,4.647,4.756
23,HEFT,Default,true,0.2,0.98,DEADLINE,0.2,1.0,"[Genome_100, Montage_50, Montage_200]",350 / 350,0.03954735187694445,667.9536,0,0,4.021,4.12
26,Random,Default,true,0.2,0.98,DEADLINE,0.2,1.0,"[Genome_100, Montage_50, Montage_200]",350 / 350,0.08812516204944444,8998.7368,5,1,4.046,4.147
25,HEFT,Default,true,0.2,0.98,DEADLINE,0.2,1.0,"[Genome_100, Montage_50, Montage_200]",350 / 350,0.03958222710222222,658.7425,0,0,4.348,4.498
24,Random,Default,true,0.2,0.98,DEADLINE,0.2,1.0,"[Genome_100, Montage_50, Montage_200]",350 / 350,0.1327838447675,8537.3816,3,1,4.31,4.562
27,HEFT,Default,true,0.2,0.98,DEADLINE,0.2,1.0,"[Genome_100, Montage_50, Montage_200]",350 / 350,0.037905095793611114,717.7874,0,0,4.373,4.472
28,Random,Default,true,0.2,0.98,DEADLINE,0.2,1.0,"[Genome_100, Montage_50, Montage_200]",350 / 350,0.06991466428083333,9945.3968,11,1,4.142,4.236
29,HEFT,Default,true,0.2,0.98,DEADLINE,0.2,1.0,"[Genome_100, Montage_50, Montage_200]",350 / 350,0.03787640157916667,707.565,0,0,3.78,4.074
30,Random,Default,true,0.2,0.98,DEADLINE,0.2,1.0,"[Genome_100, Montage_50, Montage_200]",350 / 350,0.10746882800777778,9576.3319,7,1,4.021,4.132
31,HEFT,Default,true,0.2,0.98,DEADLINE,0.2,1.0,"[Genome_100, Montage_50, Montage_200]",350 / 350,0.03896553313333334,668.3104,0,0,3.889,3.98
32,Random,Default,true,0.2,0.98,DEADLINE,0.2,1.0,"[Genome_100, Montage_50, Montage_200]",350 / 350,0.13816591119833332,8597.6482,4,1,4.223,4.305
33,HEFT,Default,true,0.2,0.98,DEADLINE,0.2,1.0,"[Genome_100, Montage_50, Montage_200]",350 / 350,0.03474231721972222,658.5523,0,0,3.749,3.816
35,HEFT,Default,true,0.2,0.98,DEADLINE,0.2,1.0,"[Genome_100, Montage_50, Montage_200]",350 / 350,0.03464225934638889,672.7394,0,0,3.669,3.731
34,Random,Default,true,0.2,0.98,DEADLINE,0.2,1.0,"[Genome_100, Montage_50, Montage_200]",350 / 350,0.10850158428083334,7007.2832,6,1,4.036,4.126
37,HEFT,Default,true,0.2,0.98,DEADLINE,0.2,1.0,"[Genome_100, Montage_50, Montage_200]",350 / 350,0.03537693396027778,776.7365,0,0,3.743,3.803
36,Random,Default,true,0.2,0.98,DEADLINE,0.2,1.0,"[Genome_100, Montage_50, Montage_200]",350 / 350,0.08353535145583334,9628.1304,6,1,3.967,4.032
41,HEFT(cmp=Depth),Depth,true,0.2,0.98,DEADLINE,0.2,1.0,"[Genome_100, Montage_50, Montage_200]",350 / 350,0.034036765216944445,717.8537,0,0,3.268,3.406
38,Random,Default,true,0.2,0.98,DEADLINE,0.2,1.0,"[Genome_100, Montage_50, Montage_200]",350 / 350,0.09356290113138889,9127.379,8,1,3.938,4.033
39,HEFT,Default,true,0.2,0.98,DEADLINE,0.2,1.0,"[Genome_100, Montage_50, Montage_200]",350 / 350,0.034468114357222225,707.5651,0,0,3.983,4.037
43,HEFT(cmp=Depth),Depth,true,0.2,0.98,DEADLINE,0.2,1.0,"[Genome_100, Montage_50, Montage_200]",350 / 350,0.03450068564138889,707.5071,0,0,3.447,3.515
40,Random,Default,true,0.2,0.98,DEADLINE,0.2,1.0,"[Genome_100, Montage_50, Montage_200]",350 / 350,0.09550929444472223,11762.889,6,1,3.935,4.004
42,Random(cmp=Depth),Depth,true,0.2,0.98,DEADLINE,0.2,1.0,"[Genome_100, Montage_50, Montage_200]",350 / 350,0.12368446041222224,9014.4591,8,1,3.608,3.672
45,HEFT(cmp=Depth),Depth,true,0.2,0.98,DEADLINE,0.2,1.0,"[Genome_100, Montage_50, Montage_200]",350 / 350,0.03230362181555556,717.503,0,0,3.345,3.4
44,Random(cmp=Depth),Depth,true,0.2,0.98,DEADLINE,0.2,1.0,"[Genome_100, Montage_50, Montage_200]",350 / 350,0.07938545679055554,8850.9647,4,1,3.808,3.887
46,Random(cmp=Depth),Depth,true,0.2,0.98,DEADLINE,0.2,1.0,"[Genome_100, Montage_50, Montage_200]",350 / 350,0.09234375336194445,8756.5671,1,1,3.334,3.393
47,HEFT(cmp=Depth),Depth,true,0.2,0.98,DEADLINE,0.2,1.0,"[Genome_100, Montage_50, Montage_200]",350 / 350,0.037750939985,915.76,0,0,3.973,4.029
50,Random(cmp=Depth),Depth,true,0.2,0.98,DEADLINE,0.2,1.0,"[Genome_100, Montage_50, Montage_200]",350 / 350,0.1143914817538889,8834.5593,3,1,3.352,3.407
48,Random(cmp=Depth),Depth,true,0.2,0.98,DEADLINE,0.2,1.0,"[Genome_100, Montage_50, Montage_200]",350 / 350,0.07512603033944444,9022.8798,4,1,3.716,3.769
49,HEFT(cmp=Depth),Depth,true,0.2,0.98,DEADLINE,0.2,1.0,"[Genome_100, Montage_50, Montage_200]",350 / 350,0.03507511391555555,993.7767,0,0,3.839,3.904
53,HEFT(cmp=Depth),Depth,true,0.2,0.98,DEADLINE,0.2,1.0,"[Genome_100, Montage_50, Montage_200]",350 / 350,0.03841089164722222,668.5946,0,0,3.341,3.395
52,Random(cmp=Depth),Depth,true,0.2,0.98,DEADLINE,0.2,1.0,"[Genome_100, Montage_50, Montage_200]",350 / 350,0.10326241859333332,6410.6084,6,0,3.512,3.576
55,HEFT(cmp=Depth),Depth,true,0.2,0.98,DEADLINE,0.2,1.0,"[Genome_100, Montage_50, Montage_200]",350 / 350,0.03582871289333334,995.3986,0,0,3.599,3.655
54,Random(cmp=Depth),Depth,true,0.2,0.98,DEADLINE,0.2,1.0,"[Genome_100, Montage_50, Montage_200]",350 / 350,0.10440957562166667,9992.5322,4,1,3.658,3.747
51,HEFT(cmp=Depth),Depth,true,0.2,0.98,DEADLINE,0.2,1.0,"[Genome_100, Montage_50, Montage_200]",350 / 350,0.03585663429000001,707.6785,0,0,3.959,4.027
56,Random(cmp=Depth),Depth,true,0.2,0.98,DEADLINE,0.2,1.0,"[Genome_100, Montage_50, Montage_200]",350 / 350,0.13085965916055556,8975.4996,1,2,3.173,3.229
58,Random(cmp=Depth),Depth,true,0.2,0.98,DEADLINE,0.2,1.0,"[Genome_100, Montage_50, Montage_200]",350 / 350,0.09502155679166667,6912.4306,3,1,3.195,3.258
57,HEFT(cmp=Depth),Depth,true,0.2,0.98,DEADLINE,0.2,1.0,"[Genome_100, Montage_50, Montage_200]",350 / 350,0.040532387738333335,923.2008,0,0,3.863,3.909
60,Random(cmp=Depth),Depth,true,0.2,0.98,DEADLINE,0.2,1.0,"[Genome_100, Montage_50, Montage_200]",350 / 350,0.1298684631025,6947.0251,3,1,3.074,3.123
59,HEFT(cmp=Depth),Depth,true,0.2,0.98,DEADLINE,0.2,1.0,"[Genome_100, Montage_50, Montage_200]",350 / 350,0.040038960347777784,668.3102,0,0,3.678,3.731
63,HEFT(cmp=Depth),Depth,true,0.2,0.98,DEADLINE,0.2,1.0,"[Genome_100, Montage_50, Montage_200]",350 / 350,0.03954735187694445,667.9536,0,0,3.128,3.175
61,HEFT(cmp=Depth),Depth,true,0.2,0.98,DEADLINE,0.2,1.0,"[Genome_100, Montage_50, Montage_200]",350 / 350,0.03526614808388889,668.3103,0,0,3.614,3.654
62,Random(cmp=Depth),Depth,true,0.2,0.98,DEADLINE,0.2,1.0,"[Genome_100, Montage_50, Montage_200]",350 / 350,0.10559028396166667,8752.5947,4,1,3.635,3.692
64,Random(cmp=Depth),Depth,true,0.2,0.98,DEADLINE,0.2,1.0,"[Genome_100, Montage_50, Montage_200]",350 / 350,0.1327838447675,8537.3816,3,1,3.491,3.54
65,HEFT(cmp=Depth),Depth,true,0.2,0.98,DEADLINE,0.2,1.0,"[Genome_100, Montage_50, Montage_200]",350 / 350,0.03958222710222222,658.7425,0,0,3.439,3.491
66,Random(cmp=Depth),Depth,true,0.2,0.98,DEADLINE,0.2,1.0,"[Genome_100, Montage_50, Montage_200]",350 / 350,0.08812516204944444,8998.7368,5,1,3.549,3.592
67,HEFT(cmp=Depth),Depth,true,0.2,0.98,DEADLINE,0.2,1.0,"[Genome_100, Montage_50, Montage_200]",350 / 350,0.037905095793611114,717.7874,0,0,3.641,3.695
68,Random(cmp=Depth),Depth,true,0.2,0.98,DEADLINE,0.2,1.0,"[Genome_100, Montage_50, Montage_200]",350 / 350,0.06991466428083333,9945.3968,11,1,3.073,3.14
69,HEFT(cmp=Depth),Depth,true,0.2,0.98,DEADLINE,0.2,1.0,"[Genome_100, Montage_50, Montage_200]",350 / 350,0.03787640157916667,707.565,0,0,3.194,3.238
70,Random(cmp=Depth),Depth,true,0.2,0.98,DEADLINE,0.2,1.0,"[Genome_100, Montage_50, Montage_200]",350 / 350,0.10746882800777778,9576.3319,7,1,3.666,3.729
71,HEFT(cmp=Depth),Depth,true,0.2,0.98,DEADLINE,0.2,1.0,"[Genome_100, Montage_50, Montage_200]",350 / 350,0.03896553313333334,668.3104,0,0,3.283,3.334
73,HEFT(cmp=Depth),Depth,true,0.2,0.98,DEADLINE,0.2,1.0,"[Genome_100, Montage_50, Montage_200]",350 / 350,0.03474231721972222,658.5523,0,0,3.183,3.241
72,Random(cmp=Depth),Depth,true,0.2,0.98,DEADLINE,0.2,1.0,"[Genome_100, Montage_50, Montage_200]",350 / 350,0.13816591119833332,8597.6482,4,1,3.396,3.441
74,Random(cmp=Depth),Depth,true,0.2,0.98,DEADLINE,0.2,1.0,"[Genome_100, Montage_50, Montage_200]",350 / 350,0.10850158428083334,7007.2832,6,1,3.388,3.434
76,Random(cmp=Depth),Depth,true,0.2,0.98,DEADLINE,0.2,1.0,"[Genome_100, Montage_50, Montage_200]",350 / 350,0.08353535145583334,9628.1304,6,1,3.389,3.433
75,HEFT(cmp=Depth),Depth,true,0.2,0.98,DEADLINE,0.2,1.0,"[Genome_100, Montage_50, Montage_200]",350 / 350,0.03464225934638889,672.7394,0,0,3.42,3.477
